"url","text","Bracket"
https://bsky.app/profile/paulacheshire.bsky.social/post/3lmaqg5xocc2c,"Jo, hubiera estado genial! Ojalá un día poder tomarnos un café de tranquis y charletear un poco 🫶","1"
https://bsky.app/profile/paulacheshire.bsky.social/post/3lmaq5bftlc2c,"Perdón, aún estoy asimilando que AITOR ERAÑA DICE QUE ME RESPETA Y LE GUSTARÍA CONOCERME SOCORRO (Soy una fangirl insoportable lo siento un montón)","1"
https://bsky.app/profile/paulacheshire.bsky.social/post/3lm7xvqpplk2z,Quiero mucho a estas personas y me hizo mucha ilusión tener la oportunidad de firmar con ellas este fin de semana 💙 @entrenfermeras.bsky.social @arkaitzart.bsky.social,"1"
https://bsky.app/profile/paulacheshire.bsky.social/post/3lm7ryhyhp223,"Eres un sol, de verdad! Qué penita no haberte visto, seguro que estaban de muerte las magdalenas :___) Muchísimas gracias por el detalle tan grande!!💙🫂","1"
https://bsky.app/profile/fandogamia.com/post/3lm4wudvb6c2u,"En cambio, hoy os deseamos un domingo muy, muy adusto.","0"
https://bsky.app/profile/paulacheshire.bsky.social/post/3lm5tgu32ns2p,"Gracias por hacer del salón de este finde algo genial, como siempre. Cada año se supera más 💙

ADEMÁS HOY ES MI CUMPLE AAAAAA","1"
https://bsky.app/profile/fandogamia.com/post/3lm3mggbuyc2k,La gran familia de la F os desea Feliz Sábado de la Comiqueación.,"0"
https://bsky.app/profile/paulacheshire.bsky.social/post/3llzh72v5xs2m,Y ahora me voy a planchar la oreja que estoy ✨acabada✨ boa noite xentiña!,"1"
https://bsky.app/profile/paulacheshire.bsky.social/post/3llw6vq4eec2w,@wargg.bsky.social  me regaló esto y no puedo estar más in love,"1"
https://bsky.app/profile/paulacheshire.bsky.social/post/3llvraux3d22a,"En la última página quise hacerle honor a @teranidas.bsky.social con su onomatopeya “PEMBA” 🫣

(Tengo que empezar a escanear estos diarios)","1"
https://bsky.app/profile/paulacheshire.bsky.social/post/3llvra7zsdc2a,"Pues esta es una selección de los diarios de marzo. 

Friendly reminder de que los estoy subiendo a mi kofi de forma exclusiva para los miembros que me apoyan con 2€ al mes (tipo Patreon, vaya) 💙

ko-fi.com/paulacheshir...","1"
https://bsky.app/profile/paulacheshire.bsky.social/post/3llvbwwdb322a,Estuve tan liada esta semana que me olvidé de abrir las compras para recoger en el cómic Barcelona 🫠 aun podría estar a tiempo pero no sé si vale la pena.,"1"
https://bsky.app/profile/arkaitzart.bsky.social/post/3lltkyjt4tc22,"Resubo esto, por lo que sea.","0"
https://bsky.app/profile/paulacheshire.bsky.social/post/3lltdw45re22f,"Sí. En gallego, cómic se dice ""banda deseñada"", herencia directa del término francés 😊","1"
